disease,description
viêm gan C,"Viêm gan C là một bệnh lây nhiễm do virus viêm gan C (HCV) tấn công gan và gây ra sự viêm và tổn thương của các tế bào gan. Bệnh này có thể dẫn đến các biến chứng nghiêm trọng như xơ gan, ung thư gan và suy gan.
Các triệu chứng của viêm gan C thường không rõ ràng trong giai đoạn đầu, và có thể kéo dài trong nhiều năm hoặc thậm chí trong thập kỷ mà không bị phát hiện. Sau khi bệnh phát triển, người bệnh có thể có các triệu chứng như: mệt mỏi, buồn nôn, đau bụng, mất cảm giác ăn uống, đau khớp, và sưng gan. Tuy nhiên, đa số người bệnh không có triệu chứng cho tới khi bệnh đã tiến triển đến giai đoạn nghiêm trọng.
Nguyên nhân của viêm gan C liên quan đến vi rút HCV được truyền từ người sang người thông qua tiếp xúc với máu hoặc các chất khác như dịch cơ thể của người bị nhiễm. Các yếu tố nguy cơ bao gồm: tiếp xúc với máu qua đường tiêm chích, sử dụng các dụng cụ y tế không được khử trùng đúng cách và quan hệ tình dục không an toàn."
đau nửa đầu,"Đau nửa đầu là một loại đau đầu thường xuyên xảy ra ở một nửa đầu hoặc cả hai bên. Chứng đau nửa đầu có thể gây đau nhói dữ dội hoặc cảm giác đập, thường là ở một bên đầu. Nó thường đi kèm với buồn nôn, nôn mửa và cực kỳ nhạy cảm với ánh sáng và âm thanh. Các cơn đau nửa đầu có thể kéo dài hàng giờ đến nhiều ngày, và cơn đau có thể nghiêm trọng đến mức nó cản trở các hoạt động hàng ngày của bạn.
Nguyên nhân của đau nửa đầu có thể do nhiều yếu tố khác nhau như: căng thẳng, stress, thiếu ngủ, sốt cao, viêm xoang, chấn thương đầu và các bệnh lý khác như đau đầu kinh niên, migraine, áp lực mạch máu. Một số yếu tố khác bao gồm: hút thuốc và uống rượu quá mức, uống thuốc thái quá nhiều, tiếp xúc với các chất kích thích như caffein, trầm cảm, lo âu và stress."
hen phế quản,"Hen phế quản là một bệnh lý đường hô hấp mạn tính, ảnh hưởng đến sự thoải mái của đường thở. Bệnh này được xem như là một dạng viêm khí quản cấp tính và thường xuất hiện khi các đường hơi thở trở nên hẹp hơn thông thường, gây ra khó khăn trong việc hít thở và thở ra.
Các triệu chứng của hen phế quản có thể bao gồm: ho khan kéo dài, khó thở, ngực căng thẳng, tiếng rít khi thở, đau ngực và khó thở khi vận động. Các triệu chứng này có thể kéo dài trong một khoảng thời gian dài và có thể trở nên nặng hơn trong mùa đông hoặc khi tiếp xúc với các tác nhân gây dị ứng.
Nguyên nhân của hen phế quản liên quan đến một sự phản ứng dị ứng của đường hô hấp khi tiếp xúc với các tác nhân như bụi, hóa chất, ô nhiễm không khí, thuốc lá, hoặc khi bệnh nhân bị nhiễm trùng đường hô hấp. Các yếu tố di truyền và môi trường như khói thuốc lá trong gia đình cũng có thể đóng vai trò trong việc phát triển bệnh."
viêm gan do rượu,"Viêm gan do rượu (Alcoholic hepatitis) là một loại viêm gan được gây ra bởi việc tiêu thụ lượng rượu lớn trong một thời gian dài. Bệnh này là kết quả của các tác nhân độc hại trong rượu và các chất bổ sung trong quá trình chuyển hóa rượu trong gan.
Viêm gan do rượu có thể là một bệnh nhẹ hoặc nặng, phụ thuộc vào mức độ sử dụng rượu và thời gian sử dụng rượu. Triệu chứng của viêm gan do rượu bao gồm đau bụng, mệt mỏi, mất cảm giác, suy giảm cân nặng, và da và mắt bị vàng."
vàng da,"Vàng da (Jaundice) là một triệu chứng phổ biến trong đó da, bồn chồn và các mô mềm khác trong cơ thể trở nên màu vàng do sự tích tụ của chất bilirubin trong máu. Bilirubin là một chất thải được tạo ra khi gan phân hủy các tế bào máu cũ và được tiết ra qua mật ra ngoài cơ thể.
Các nguyên nhân của vàng da có thể bao gồm nhiễm trùng, bệnh gan, tắc đường mật, các bệnh lý liên quan đến sản xuất hoặc giải phóng bilirubin như thiếu máu bẩm sinh, và sử dụng một số loại thuốc. Triệu chứng của vàng da bao gồm da và mắt có màu vàng, mệt mỏi, khó chịu, vàng da và nước tiểu đậm màu."
viêm gan E,"Viêm gan E (Hepatitis E) là một bệnh viêm gan được gây ra bởi virus Hepatitis E (HEV). Bệnh này thường xuất hiện ở các khu vực nhiệt đới và có khả năng lây lan qua đường tiêu hóa.
Triệu chứng của viêm gan E bao gồm sốt, đau bụng, mệt mỏi, mất cảm giác, vàng da và mắt, và tăng men gan. Triệu chứng thường bắt đầu khoảng 2-6 tuần sau khi nhiễm virus.
Viêm gan E thường tự khỏi trong vòng vài tuần đến vài tháng và không gây ra hậu quả nghiêm trọng. Tuy nhiên, trong một số trường hợp nặng, bệnh có thể gây ra viêm gan mạn tính và suy gan. Người già, phụ nữ có thai và những người bị các bệnh lý gan khác có nguy cơ cao hơn bị viêm gan E nặng."
sốt xuất huyết,"Sốt xuất huyết là một bệnh lây nhiễm do virus và phổ biến ở các nước nhiệt đới và cận nhiệt đới. Bệnh này có thể gây ra các triệu chứng như sốt cao, đau đầu, đau nhức khớp và cơ, đau họng, chảy máu chân răng, chảy máu cam, dịch tụy, và có thể gây ra hội chứng sốt phùu, một biến chứng nguy hiểm có thể gây tử vong.
Sốt xuất huyết thường do virus Dengue gây ra, tuy nhiên cũng có thể do virus Zika, virus Chikungunya hoặc một số virus khác. Bệnh này thường lây lan qua sự truyền từ người sang người qua véc tơ muỗi."
viêm gan D,"Viêm gan D (hepatitis D) là một bệnh viêm gan do virus viêm gan D (HDV) gây ra. Virus HDV chỉ có thể tồn tại trong cơ thể của những người đã nhiễm virus viêm gan B (HBV) và là một trong những nguyên nhân gây ra viêm gan mãn tính. Bệnh này có thể làm suy giảm chức năng gan và gây ra các vấn đề về gan lâu dài, bao gồm sẹo gan và ung thư.
Viêm gan D có các triệu chứng tương tự như viêm gan B, bao gồm mệt mỏi, buồn nôn, đau đầu, đau bụng, da và mắt vàng, và có thể dẫn đến viêm gan mãn tính hoặc xơ gan."
đau tim,"Đau tim là một triệu chứng thường xuất hiện khi cơ tim không nhận được đủ lượng oxy cần thiết để hoạt động, thường là do tắc nghẽn động mạch cảnh, tạm thời hoặc kéo dài, gây ra những cơn đau hoặc cảm giác nặng ngực, khó thở, hoặc khó chịu trong vùng ngực.
Đau tim thường xảy ra khi động mạch cảnh bị tắc nghẽn hoặc thu hẹp, gây ra sự gián đoạn trong lưu thông máu đến cơ tim, dẫn đến sự thiếu hụt oxy và chất dinh dưỡng cần thiết để hoạt động của cơ tim. Các nguyên nhân của đau tim có thể bao gồm bệnh động mạch vành, bệnh tim mạch, bệnh van tim, bệnh đái tháo đường và hút thuốc lá."
viêm phổi,"Viêm phổi là một loại bệnh lý phổi do một số nguyên nhân gây ra, chẳng hạn như nhiễm trùng vi khuẩn, vi rút hoặc nấm, hít thở các chất gây kích thích hoặc khí độc, hay do các bệnh lý khác như hen suyễn, ung thư phổi, hoặc bệnh tăng huyết áp động mạch phổi.
Viêm phổi thường gây ra các triệu chứng như ho, đau ngực, khó thở, và sốt. Các triệu chứng này có thể làm cho việc hô hấp của người bệnh trở nên khó khăn, đặc biệt là khi họ thở vào hay thở ra. Trong một số trường hợp nghiêm trọng, viêm phổi có thể dẫn đến suy hô hấp và tử vong."
viêm khớp,"Viêm khớp là một bệnh lý mà các khớp bị sưng, đau và cảm thấy cứng cựa, gây ra sự khó khăn trong việc di chuyển và hoạt động hàng ngày. Bệnh này có thể ảnh hưởng đến một hoặc nhiều khớp cùng lúc và có thể do nhiều nguyên nhân khác nhau.
Các triệu chứng của viêm khớp bao gồm đau và sưng tại các khớp, đặc biệt là vào buổi sáng hoặc sau khi ngồi lâu. Các khớp có thể cảm thấy nóng, đỏ hoặc cứng cựa, và sự khó khăn trong việc di chuyển hoặc thực hiện các hoạt động hàng ngày. Ngoài ra, bệnh nhân có thể cảm thấy mệt mỏi và sốt.
Các nguyên nhân của viêm khớp có thể bao gồm các bệnh lý liên quan đến miễn dịch, chấn thương, lão hóa, stress và sử dụng thuốc. Các loại viêm khớp phổ biến bao gồm viêm khớp dạng thấp, bệnh lupus ban đỏ, viêm khớp xương chậu và viêm khớp dạng thấp tăng cường."
viêm dạ dày,"Viêm dạ dày là một bệnh lý ảnh hưởng đến niêm mạc dạ dày và có thể là kết quả của nhiều nguyên nhân khác nhau. Bệnh có thể gây ra đau bụng, buồn nôn, khó tiêu, nôn mửa và ợ nóng. Viêm dạ dày có thể có ảnh hưởng đến chất lượng cuộc sống của bệnh nhân và cần được chẩn đoán và điều trị kịp thời.
Các nguyên nhân của viêm dạ dày bao gồm nhiễm trùng vi khuẩn Helicobacter pylori, sử dụng thuốc kháng sinh và chế độ ăn uống không lành mạnh. Ngoài ra, các yếu tố khác như căng thẳng, hút thuốc, uống rượu và sử dụng các loại thuốc không đúng cách cũng có thể góp phần vào tình trạng viêm dạ dày.
Các triệu chứng của viêm dạ dày bao gồm đau bụng, đầy hơi, khó tiêu, ợ nóng, buồn nôn và nôn mửa. Bệnh nhân cũng có thể cảm thấy mệt mỏi và khó ngủ. Nếu không được chẩn đoán và điều trị kịp thời, viêm dạ dày có thể dẫn đến các biến chứng như loét dạ dày, chảy máu dạ dày và ung thư dạ dày."
lao,"Lao (tuberculosis) là một bệnh lý nhiễm trùng do vi khuẩn Mycobacterium tuberculosis gây ra, ảnh hưởng đến các cơ quan của cơ thể, đặc biệt là phổi. Bệnh lao được truyền từ người bệnh sang người khác thông qua vi khuẩn được lây nhiễm từ khí hoặc bọt đường hô hấp của bệnh nhân. Ngoài ra, vi khuẩn lao cũng có thể tấn công các cơ quan khác của cơ thể như chi, khớp, gan, thận, não và xương.
Các triệu chứng của bệnh lao phổi thường bao gồm ho lâu ngày, đau ngực, khó thở, sốt, đổ mồ hôi về đêm và giảm cân. Nếu bệnh không được chẩn đoán và điều trị kịp thời, nó có thể gây ra biến chứng như viêm phổi, chảy máu phổi và suy giáp."
viêm thanh quản,"Viêm thanh quản (còn được gọi là viêm xoang thanh quản hoặc viêm niêm mạc thanh quản) là một tình trạng viêm nhiễm trong niêm mạc của thanh quản. Thanh quản là ống nối họng với phổi, có vai trò dẫn khí từ họng vào phổi. Khi niêm mạc thanh quản bị viêm, nó có thể gây ra các triệu chứng như ho, đau và khó thở.

Nguyên nhân chính của viêm thanh quản là do nhiễm trùng vi khuẩn hoặc virus, thường là do virus cảm lạnh thông thường. Ngoài ra, các tác nhân gây kích thích khác như hút thuốc, ô nhiễm không khí, dị ứng, hoặc viêm xoang có thể góp phần vào sự phát triển của viêm thanh quản."
đau mắt đỏ,"Đau mắt đỏ là một tình trạng mắt có màu đỏ do nhiều nguyên nhân khác nhau. Khi mắt đỏ, mạch máu ở mắt mở rộng và gây ra sự rò rỉ máu, tạo nên màu đỏ trên giác mạc, kết mạc hoặc các cấu trúc khác trong mắt. Triệu chứng này có thể xuất hiện ở một hoặc cả hai mắt.

Mắt đỏ có thể đi kèm với các triệu chứng khác như ngứa, sưng, nhạy cảm với ánh sáng, cảm giác chảy nước mắt, nhanh mệt mắt hoặc khó chịu."
viêm nướu,"Viêm nướu (còn được gọi là viêm nướu chân răng hoặc viêm nướu nha chu) là một tình trạng viêm nhiễm của nướu xung quanh răng. Đây là một vấn đề rất phổ biến trong lĩnh vực nha khoa và có thể xảy ra ở mọi lứa tuổi. Viêm nướu có thể là một dạng nhẹ của bệnh nha chu hoặc là giai đoạn sớm của bệnh nha chu.

Nguyên nhân chính của viêm nướu là sự tích tụ và tích lũy của vi khuẩn trong mảng bám và chất bã nhờn trên răng. Khi vi khuẩn phát triển, cơ thể phản ứng bằng cách gửi các yếu tố viêm nhiễm để chống lại vi khuẩn, dẫn đến sự viêm nhiễm và tổn thương của nướu."
sâu răng,"Sâu răng (còn được gọi là tụt răng, đốm răng, hoặc hủy hoại răng) là một tình trạng tổn thương và phá huỷ mô cứng của răng do quá trình mục tiêu của vi khuẩn trong miệng. Vi khuẩn tạo ra axit từ chất bã nhờn và đường trong thức ăn, tạo ra mảng bám trên răng và gây phá hủy men răng.

Khi men răng bị phá hủy, vi khuẩn có thể xâm nhập vào các lớp sâu hơn của răng và gây ra sự phá hủy các cấu trúc như phần men, dentin và dây thần kinh bên trong. Khi quá trình này tiếp tục, sâu răng có thể lan rộng và ảnh hưởng đến thân răng và mô mềm xung quanh."
nấm da,"Nấm da (hay còn được gọi là nhiễm nấm da) là một tình trạng nhiễm trùng của da do sự phát triển quá mức của các loại nấm. Các loại nấm này có thể tồn tại tự nhiên trên da hoặc được lây nhiễm từ nguồn bên ngoài, chẳng hạn như từ tiếp xúc với nhiễm nấm từ người khác hoặc từ môi trường nhiễm nấm.

Nấm da có thể xảy ra ở bất kỳ vùng nào trên cơ thể, bao gồm da đầu, da mặt, da cơ thể, da tay, da chân và vùng ở giữa các ngón chân"
viêm ống tai ngoài,"Viêm ống tai ngoài (tiếng Anh: otitis externa) là một tình trạng viêm nhiễm của da và niêm mạc ống tai bên ngoài. Nó thường gây ra sự khó chịu và đau đớn ở khu vực tai ngoài và có thể ảnh hưởng đến khả năng nghe.

Nguyên nhân chính của viêm ống tai ngoài là do nhiễm trùng vi khuẩn hoặc nấm, thường xảy ra khi da tai bị tổn thương hoặc ẩm ướt trong thời gian dài. "
gout (gút),"Gout (tên khoa học là podagra) là một loại bệnh gây ra việc tạo thành và tích tụ các tinh thể muối urate trong các khớp và mô xung quanh. Đây là một bệnh liên quan đến chế độ ăn uống và có liên quan chặt chẽ đến cường độ và chất lượng của axit uric trong máu.

Gout thường ảnh hưởng đến khớp ngón chân, đặc biệt là khớp ngón cái. Nó có thể gây ra các cơn đau cấp tính, viêm đỏ, sưng và nóng ở khớp, thường xảy ra đột ngột và thường là vào ban đêm. Cơn đau gout thường kéo dài từ vài ngày đến vài tuần và có thể làm hạn chế khả năng di chuyển và gây khó chịu nghiêm trọng cho người bệnh."
ngộ độc thực phẩm,"Ngộ độc thực phẩm (hay còn được gọi là ngộ độc thực phẩm) là một tình trạng bệnh do việc tiếp xúc hoặc tiêu thụ thực phẩm hoặc nước uống bị nhiễm khuẩn, độc tố hoặc vi khuẩn gây bệnh khác. Ngộ độc thực phẩm có thể xảy ra khi ăn thực phẩm đã bị ô nhiễm, chế biến không đúng cách, hoặc không bảo quản đúng cách."
sùi mào gà,"Sùi mào gà, hay còn được gọi là bệnh HPV (Human Papillomavirus), là một bệnh lây truyền qua đường tình dục do virus HPV gây ra. Bệnh này thường gây ra sự xuất hiện của các mầm mống, ánh sáng hoặc xốp trên da hoặc niêm mạc của vùng sinh dục hoặc xung quanh. Nó là một trong những bệnh lây truyền qua đường tình dục phổ biến nhất trên toàn cầu.

Sùi mào gà thường xuất hiện ở vùng sinh dục, bao gồm dương vật, âm hộ, hậu môn, vùng xung quanh hậu môn và đường hô hấp"
sỏi thận,Sỏi thận (hay còn được gọi là viên sỏi thận) là một tình trạng trong đó các tạp chất (như muối và khoáng chất) tạo thành các hạt nhỏ trong niệu quản hoặc niệu quản (hệ thống tiết niệu). Những hạt nhỏ này có thể không gây ra triệu chứng cho đến khi chúng di chuyển qua niệu quản và gây ra cảm giác đau và không thoải mái.
quai bị,"Quai bị, hay còn được gọi là bệnh quai bị (tiếng Anh: mumps), là một bệnh lây nhiễm do virus quai bị gây ra. Bệnh này thường ảnh hưởng đến tuyến nước bọt (tuyến nước bọt mang tai) và có thể lan rộng đến các tuyến nước bọt khác trong cơ thể.

Nguyên nhân chính của quai bị là sự lây truyền từ người sang người qua tiếp xúc với dịch nước bọt của người nhiễm bệnh. Đặc biệt, virus quai bị lây truyền thông qua hơi hoặc giọt bắn khi người bệnh ho, hắt hơi, nói chuyện hoặc tiếp xúc gần."
thoát vị đĩa đệm,"
Thoát vị đĩa đệm (hay còn được gọi là trượt đĩa đệm, tiếng Anh: herniated disc) là một tình trạng khi một phần của đĩa đệm trong cột sống bị dịch chuyển hoặc bung ra khỏi vị trí bình thường của nó. Đĩa đệm là một lớp mô sụn dày nằm giữa các đốt sống trong cột sống, giúp giảm ma sát, hấp thụ va đập và duy trì tính ổn định của cột sống.

Khi thoát vị đĩa đệm xảy ra, một phần của đĩa đệm có thể bị xé rách hoặc dịch chuyển về phía sau hoặc sang một bên. Điều này có thể gây ra áp lực, kích thích hoặc gây tổn thương dây thần kinh xung quanh, gây ra các triệu chứng đau và rối loạn chức năng."
suy gan,"Suy gan (hay còn được gọi là viêm gan mãn tính) là một tình trạng trong đó gan trở nên bị tổn thương và mất chức năng theo thời gian dài. Đây là một bệnh lý gan nghiêm trọng và có thể là kết quả của nhiều nguyên nhân khác nhau như viêm gan mãn tính, viêm gan virus, sử dụng rượu lâu dài, bệnh tiểu đường, béo phì, chứng bệnh autoimmunity, tiếp xúc với các chất độc hại, hoặc bất kỳ tình trạng nào gây tổn thương gan."
suy thận,"Suy thận (hay còn được gọi là suy thận mãn tính) là một tình trạng trong đó chức năng của các cơ quan thận bị suy giảm một cách dài hạn. Suy thận là một bệnh lý nghiêm trọng và tiềm ẩn nguy hiểm đối với sức khỏe. Nó có thể là kết quả của nhiều nguyên nhân, bao gồm các bệnh lý thận cấp tính không điều trị, bệnh lý thận mãn tính, tiểu đường, huyết áp cao, viêm thận, bệnh lý mạch máu, sử dụng các loại thuốc gây tổn thương thận, và một số bệnh lý khác.

Suy thận dần dần làm mất đi chức năng của thận trong việc lọc chất thải và chất cặn bã từ máu, duy trì cân bằng nước và điều chỉnh huyết áp. Triệu chứng của suy thận có thể không rõ ràng ở giai đoạn đầu và dần dần trở nên nghiêm trọng hơn khi chức năng thận suy giảm."
viêm kết mạc,"Viêm kết mạc (hay còn được gọi là viêm mắt đỏ) là một tình trạng viêm nhiễm của niêm mạc mỏng bao phủ bề mặt mắt, gọi là kết mạc. Viêm kết mạc có thể do nhiều nguyên nhân khác nhau, bao gồm nhiễm trùng vi khuẩn, vi khuẩn gây bệnh lây truyền qua đường tiếp xúc hoặc không bảo vệ, vi khuẩn gây bệnh qua đường thụ thể, nhiễm trùng virus, dị ứng, hoặc tác động từ các chất kích thích như hóa chất hoặc khói."
viêm xoang,"Viêm xoang, hay còn gọi là viêm xoang mũi, là một tình trạng viêm nhiễm của niêm mạc bên trong các xoang mũi. Xoang mũi là các không gian hơi trong xương mặt xung quanh mũi và có vai trò trong việc tạo ra, lọc và ẩm ướt không khí khi nó đi vào mũi.

Viêm xoang thường là kết quả của vi khuẩn, virus hoặc nấm gây nhiễm trùng và gây viêm mạnh mẽ trong niêm mạc xoang mũi. Các nguyên nhân khác nhau có thể gây ra viêm xoang, bao gồm cảm lạnh, viêm mũi dị ứng, cơ địa, quá trình mũi dịch hoặc tắc nghẽn, vấn đề hệ miễn dịch, hoặc vi khuẩn kích thích như Streptococcus pneumoniae và Haemophilus influenzae."
ruột kích thích,"Ruột kích thích (hay còn gọi là hội chứng ruột kích thích) là một rối loạn của hệ tiêu hóa, ảnh hưởng đến chức năng của ruột. Đây là một tình trạng phổ biến, trong đó ruột hoạt động không đều, gây ra các triệu chứng khó chịu và đau đớn trong vùng bụng. Mặc dù không gây tổn thương vật lý cho ruột, nhưng nó có thể gây khó chịu và ảnh hưởng đến chất lượng cuộc sống."
vảy nến,"Vảy nến (hay còn gọi là vảy da) là một tình trạng da mà da trên cơ thể xuất hiện các vảy, thường là dày và khô. Vảy nến thường là biểu hiện của các bệnh lý da như viêm da, chàm, bệnh vảy nến và bệnh trĩu nặng. Các vết vảy có thể xuất hiện trên da đầu, khuỷu tay, khuỷu tay, chân, hông và các vùng khác của cơ thể."
say nắng,Say nắng (hay còn gọi là sốc nhiệt) là một tình trạng phản ứng cơ thể do tiếp xúc quá mức với nhiệt độ cao hoặc ánh nắng mặt trời. Đây là một dạng suy kiệt nhiệt do cơ thể không thể điều tiết nhiệt độ nội bộ một cách hiệu quả.
thiếu máu lên não,"Thiếu máu lên não (hay còn gọi là rối loạn cung cấp máu não) là một tình trạng mà lưu lượng máu được cung cấp cho não bị giảm, gây ra sự thiếu oxy và dưỡng chất cần thiết cho các tế bào não. Điều này có thể xảy ra do một số nguyên nhân, bao gồm tắc nghẽn hoặc hạn chế dòng máu đến não."
thoái hóa khớp,"Thoái hóa khớp (hay còn được gọi là thoái hóa khớp xương, thoái hóa xương khớp) là một tình trạng mà các mô và cấu trúc xương khớp bị suy giảm chức năng và dần dần bị tổn thương. Đây là một bệnh lý xương khớp phổ biến, thường xảy ra khi tuổi tác gia tăng.

Trong quá trình thoái hóa khớp, sụn môi trường xương khớp dần mất đi, gây ra sự mòn và tổn thương cho xương. Khi xương không còn được bảo vệ bởi sụn môi trường, các khớp có thể bị viêm, đau và cứng."
rối loạn tuần hoàn não,"Rối loạn tuần hoàn não (hay còn gọi là bệnh lý tuần hoàn não) là một tình trạng trong đó tuần hoàn máu đến não bị suy giảm hoặc bị gián đoạn, dẫn đến sự suy thoái chức năng của não. Rối loạn tuần hoàn não có thể gây ra các biến chứng nghiêm trọng và ảnh hưởng đến khả năng hoạt động và chất lượng cuộc sống của người bệnh."
herpes ở môi,"Herpes ở môi, hay còn được gọi là herpes simplex virus type 1 (HSV-1), là một loại nhiễm trùng virus gây ra các vết nổi mụn, thường xuất hiện trên môi và khu vực xung quanh miệng. Nó là một bệnh lý rất phổ biến và có thể tái phát theo chu kỳ."
đau vai gáy,"Đau vai gáy (hay còn được gọi là đau cổ vai) là một tình trạng đau hoặc khó chịu xuất hiện ở vùng vai và cổ. Đau vai gáy thường là kết quả của căng thẳng cơ, cấu trúc xương khớp bị tổn thương, viêm nhiễm hoặc các vấn đề khác liên quan đến vùng này."
thoái hóa đốt sống lưng,"Thoái hóa đốt sống lưng, còn được gọi là thoái hóa đĩa đệm hoặc thoái hóa cột sống, là một tình trạng mà các đĩa đệm và cấu trúc xương của các đốt sống lưng (cột sống) bị suy giảm chức năng và bị tổn thương. Đây là một vấn đề phổ biến khi tuổi tác tăng.

Trong quá trình thoái hóa đốt sống lưng, các đĩa đệm giữa các đốt sống bị mòn, mất đàn hồi và mất đi sự giảm chấn."
chàm,"Chàm (hay còn được gọi là eczema) là một tình trạng da mạn tính và viêm nhiễm. Nó là một bệnh da phổ biến và có thể ảnh hưởng đến mọi độ tuổi. Chàm thường gây ra da khô, ngứa, viêm, và có thể xuất hiện các vết nổi mềm mịn hoặc vảy.

Nguyên nhân chính của chàm chưa được hiểu rõ, nhưng nó có thể do một sự kết hợp của yếu tố di truyền, môi trường, và hệ miễn dịch. Một số yếu tố có thể gây ra hoặc làm tăng nguy cơ chàm bao gồm dị ứng thực phẩm, tiếp xúc với chất kích thích như hóa chất hoặc sợi tự nhiên, căng thẳng, thay đổi môi trường, và yếu tố di truyền."
bướu cổ,"Bướu cổ, hay còn gọi là bướu giáp, là một tình trạng mà tuyến giáp ở vùng cổ (gọi là tuyến giáp) bị phình to và tạo ra một khối u hoặc khối u. Bướu cổ thường là dấu hiệu của các vấn đề về tuyến giáp, bao gồm viêm tuyến giáp, quá hoạt động tuyến giáp (tăng sản xuất hormone) hoặc thiếu hoạt động tuyến giáp (giảm sản xuất hormone)."
uốn ván,"Bệnh uốn ván (tên khoa học là Tetanus) là một bệnh truyền nhiễm cấp tính do ngoại độc tố (Tetanus exotoxin) của vi khuẩn uốn ván (tên khoa học là Clostridium tetani) phát triển tại vết thương trong điều kiện yếm khí. Các triệu chứng của bệnh được biểu hiện là những cơn co cứng cơ kèm theo đau, trước tiên là các cơ nhai, cơ mặt, cơ gáy và sau đó là cơ thân."
tăng nhãn áp,"Tăng nhãn áp, còn được gọi là tăng áp trong mắt hay tăng áp mắt, là một tình trạng khi áp lực trong hệ thống nước mắt tăng lên quá mức bình thường. Áp lực mắt được duy trì bởi lưu chất nước mắt và các cơ chế thoát nước mắt. Khi có sự cân bằng giữa sản xuất và thoát nước mắt, áp lực mắt ổn định. Tuy nhiên, khi quá trình thoát nước mắt bị cản trở hoặc sản xuất nước mắt quá mức, áp lực trong mắt tăng lên.

Tăng nhãn áp có thể là một triệu chứng của nhiều bệnh mắt khác nhau, nhưng phổ biến nhất là bệnh tăng nhãn áp mở (glaucoma). Glaucoma là một bệnh mắt nghiêm trọng có thể gây tổn thương dần dần đến thần kinh thị giác và dẫn đến mất thị lực nếu không được điều trị kịp thời."