disease,precaution_1,precaution_2,precaution_3,precaution_4
phản ứng do thuốc,sử dụng các biện pháp gây ngưng kích ứng,đến khám ở bệnh viện gần nhất,ngừng sử dụng thuốc,theo dõi tình trạng sức khỏe liên tục
sốt rét,đến khám ở bệnh viện gần nhất,tránh thức ăn nhiều dầu mỡ,tránh ăn các loại thức ăn không thuần chay,không để muỗi lại gần
viêm da dị ứng,sử dụng thuốc mỡ có tác dụng giảm kích ứng,che vùng dị ứng bằng băng,sử dụng các loại thuốc giảm triệu chứng dị ứng theo chỉ dẫn của bác sĩ,giữ ấm cơ thể
suy giáp,giảm căng thẳng,tập thể dục,ăn uống lành mạnh,ngủ đủ giấc
vẩy nến,rửa tay bằng nước xà phòng ấm,"che vết thương, cầm máu",tham khảo ý kiến bác sĩ,sử dụng muối tắm
trào ngược dạ dày,hạn chế ăn thức ăn cay nóng và dầu mỡ,tránh nằm xuống sau khi ăn,duy trì cân nặng hợp lý,tập thể dục
ứ mật mãn tính,tắm nước lạnh,sử dụng các loại thuốc chống ngứa,tham khảo ý kiến bác sĩ,ăn uống lành mạnh
viêm gan A hoặc viêm gan D,đến khám ở bệnh viện gần nhất,rửa tay kĩ lưỡng,hạn chế ăn thức ăn cay nóng và dầu mỡ,sử dụng các loại thuốc theo ý kiến của bác sĩ
viêm xương khớp,sử dụng thuốc acetaminophen,đến khám ở bệnh viện gần nhất,theo dõi tình trạng sức khỏe liên tục,sử dụng muối tắm
chóng mặt kịch phát lành tính,nằm nghỉ,"tránh sự thay đổi đột ngột cơ thể (đứng lên/ngồi xuống liên tục, lắc đầu,...)",tránh di chuyển phần đầu đột ngột,thư giãn
hạ đường huyết,nằm nghiêng,kiểm tra huyết áp,uống đồ uống có đường,tham khảo ý kiến bác sĩ
mụn,tắm 2 lần trong 1 ngày,hạn chế ăn thức ăn cay nóng và dầu mỡ,uống nhiều nước,tránh dùng quá nhiều sản phẩm không phù hợp với da
tiểu đường,có chế độ ăn uống cân bằng,tập thể dục,tham khảo ý kiến bác sĩ,theo dõi tình trạng sức khỏe liên tục
chốc,ngâm vùng bị ảnh hưởng trong nước ấm,sử dụng thuốc kháng sinh,loại bỏ vảy bằng vải nén ướt,tham khảo ý kiến bác sĩ
cao huyết áp,nghỉ ngơi một cách khoa học,sử dụng muối tắm,giảm căng thẳng,ngủ đủ giấc
viêm loét dạ dày tá tràng,hạn chế ăn thức ăn cay nóng và dầu mỡ,sử dụng các thực phẩm giàu probiotic,không sử dụng các sản phẩm có nguồn gốc từ sữa,hạn chế rượu bia
trĩ,hạn chế ăn thức ăn cay nóng và dầu mỡ,sử dụng chiết xuất cây Phỉ,tắm nước ấm với muối magie-sulfat,sử dụng nước ép Lô Hội
cảm lạnh,uống đồ uống giàu vitamin C,hít thở sâu,tránh thức ăn và đồ uống lạnh,luôn theo dõi tình trạng nếu sốt
thủy đậu,sử dụng lá Neem trong khi tắm,sử dụng chiết xuất lá Neem,tiêm vaccine phòng ngừa,"tránh những nơi công cộng, nơi có nhiều người"
thoái hóa đốt sống cổ,sử dụng miếng đệm sưởi ấm hoặc túi chườm,tập thể dục,uống thuốc giảm đau không kê đơn,tham khảo ý kiến bác sĩ
cường giáp,ăn uống lành mạnh,xoa bóp,sử dụng chiết xuất Tía Tô Đất,điều trị bằng tia laser i-ốt
nhiễm trùng đường tiết niệu,uống nhiều nước,sử dụng các sản phẩm có nhiều vitamin C,uống nước ép Mạn Việt Quất,uống men vi sinh
giãn tĩnh mạch,nằm xuống chỗ bằng phẳng và nâng chân lên cao,sử dụng thuốc mỡ,thực hiện các biện pháp nén tĩnh mạch,tránh việc đứng yên một chỗ quá lâu
AIDS,tránh các vết thương gây chảy máu,đeo các loại trang bị bảo hộ cá nhân nếu có thể,tham khảo ý kiến bác sĩ,theo dõi tình trạng sức khỏe liên tục
tê liệt (xuất huyết não),xoa bóp,ăn uống lành mạnh,tập thể dục,tham khảo ý kiến bác sĩ
thương hàn,ăn rau có hàm lượng calo cao,tuân thủ liệu trình kháng sinh,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ
viêm gan B,đến khám ở bệnh viện gần nhất,tiêm vaccine phòng ngừa,ăn uống lành mạnh,sử dụng các loại thuốc theo ý kiến của bác sĩ
nhiễm trùng nấm,tắm 2 lần trong 1 ngày,sử dụng dung dịch sát khuẩn Dettol hoặc lá Neem trong khi tắm,giữ cho khu vực bị nhiễm khô ráo,giữ và sử dụng các loại áo quần sạch sẽ
viêm gan C,đến khám ở bệnh viện gần nhất,tiêm vaccine phòng ng?a,ăn uống lành mạnh,sử dụng các loại thuốc theo ý kiến của bác sĩ
đau nửa đầu,nghỉ ngơi một cách khoa học,giảm căng thẳng,sử dụng kính phân cực trong ánh nắng mặt trời,tham khảo ý kiến bác sĩ
hen phế quản,chuyển sang áo quần rộng rãi hơn,hít thở sâu,tránh xa các tác nhân gây kích ứng phế quản,giảm căng thẳng
viêm gan do rượu,ngừng uống bia rượu,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ,theo dõi tình trạng sức khỏe liên tục
vàng da,uống nhiều nước,sử dụng chiết xuất cây Kế Sữa,ăn trái cây và thực phẩm giàu chất xơ,sử dụng các loại thuốc theo ý kiến của bác sĩ
viêm gan E,ngừng uống bia rượu,nghỉ ngơi,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ
sốt xuất huyết,sử dụng nước ép lá đu đủ,hạn chế ăn thức ăn cay nóng và dầu mỡ,không để muỗi lại gần,tránh mất nước
viêm gan D,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ,ăn uống lành mạnh,theo dõi tình trạng sức khỏe liên tục
đau tim,gọi cấp cứu,sử dụng asprin,giữ trạng thái bình tĩnh,kiểm tra các chỉ số trạng thái của cơ thể
viêm phổi,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ,nghỉ ngơi,theo dõi tình trạng sức khỏe liên tục
viêm khớp,tập thể dục,sử dụng các liệu trình nóng và lạnh,châm cứu,xoa bóp
viêm dạ dày,không ăn thức ăn thô cứng một thời gian,uống từng ngụm nước nhỏ,nghỉ ngơi,ăn những loại thức ăn dễ tiêu
lao,che miệng,tham khảo ý kiến bác sĩ,sử dụng các loại thuốc theo ý kiến của bác sĩ,nghỉ ngơi
covid-19,uống thuốc theo quy định của bộ y tế,cách ly đủ thời gian quy định,theo dõi tình trạng sức khỏe liên tục,nghỉ ngơi
viêm mũi dị ứng,uống thuốc theo chỉ dẫn của bác sĩ,ăn uống lành mạnh,tránh các tác nhân gây dị ứng,tập thể dục
bướu cổ,bổ sung i-ốt,cần đi khám định kỳ,sinh hoạt lành mạnh và ăn uống đảm bảo,tuyệt đối tuân theo chỉ dẫn của bác sĩ
chàm,bôi kem theo toa của bác sĩ,băng vết thương và thuốc corticosteroid,Hạn chế đồ dầu mỡ,Tắm rửa sạch sẽ
gout (gút),Hạn chế đồ uống có cồn,Dùng thuốc giảm đau không kê đơn,Duy trì chế độ ăn uống cân bằng,tham khảo ý kiến bác sĩ
herpes ở môi,dùng kem bôi hoặc thuốc mỡ,uống nhiều nước,chườm lạnh,dùng thuốc theo chỉ định của bác sĩ
ngộ độc thực phẩm,Bù nước và chất điện giải,nghỉ ngơi,sử dụng men vi sinh,đến bệnh viện kịp thời
nấm da,dùng thuốc theo đúng chỉ định từ bác sĩ,giữ vệ sinh cá nhân,ăn nhiều rau củ và hạn chế chất kích thích,tập thể dục
quai bị,ăn thức ăn lỏng dễ nuốt,Nghỉ ngơi đầy đủ,Chườm lạnh,súc nước muối sinh lý
ruột kích thích,bổ sung nhiều chất xơ đến từ rau củ quả,hạn chế thực phẩm có chứa nhiều gluten,kiểm soát căng thẳng,dùng thuốc theo chỉ định của bác sĩ
rối loạn tuần hoàn não,chế độ ăn uống lành mạnh,sử dụng thuốc chống đông,kiểm soát huyết áp,hạn chế chất kích thích
say nắng,di chuyển vào khu vực mát mẻ,bổ sung nước và chất điện giải,nghỉ ngơi,làm mát cơ thể
suy gan,hạn chế các chất kích thích,tập thể dục,đi khám sức khỏe định kỳ,điều trị theo chỉ dẫn của bác sĩ
viêm thanh quản,uống nhiều nước,súc miệng bằng dung dịch sát khuẩn,dùng thuốc ngậm tại chỗ,"hạn chế nói nhiều, nói to, nói liên tục"
đau mắt đỏ,giữ gìn vệ sinh mắt và vệ sinh cá nhân,có chế độ ăn uống cung cấp đầy đủ chất dinh dưỡng,"sử dụng kính chắn bụi, gió khi ra đường",thường xuyên mở cửa thông gió và luôn giữ gìn vệ sinh nhà cửa sạch sẽ
viêm nướu,đánh răng ít nhất hai lần mỗi ngày,sử dụng nước súc miệng sát khuẩn theo khuyến cáo của bác sĩ,massage nướu răng nhẹ nhàng,khuyến khích sử dụng chỉ nha khoa để làm sạch các mảng bám thức ăn trên kẽ răng
sâu răng,trám răng,nhổ răng,chữa tủy răng,điều trị bằng florua
viêm ống tai ngoài,làm sạch ống tai,điều trị bằng kháng sinh theo hướng dẫn của bác sĩ,làm khô ống tai,không nên lạm dụng bông tai
sùi mào gà,tiêm vaccine HPV,kiểm tra sức khỏe định kỳ,sinh hoạt tình dục lành mạnh,bỏ các thói quen xấu
sỏi thận,điều trị nội khoa,điều trị ngoại khoa,điều trị dự phòng,ăn uống lành mạnh
thoát vị đĩa đệm,dùng các loại thuốc cải thiện triệu chứng theo hướng dẫn của bác sĩ,thực hiện các biện pháp vật lý trị liệu,phẫu thuật nếu bệnh tiến triển nặng,tập thể dục
suy thận,điều trị nội khoa,lọc máu nhân tạo,thẩm phân phúc mạc,cấy ghép thận
viêm kết mạc,rửa tay thường xuyên và hạn chế dùng tay chạm vào mắt,"sử dụng khăn mặt, vật dụng cá nhân riêng trong nhà và nơi học tập làm việc",không dùng mỹ phẩm mắt ,"tăng cường bổ sung vitamin A, C, E,..."
viêm xoang,điều trị nội khoa,điều trị phẫu thuật nếu điều trị nội khoa không hiệu quả,giữ vệ sinh mũi họng,hạn chế tiếp xúc với nguồn nhiễm khuẩn
vảy nến,sử dụng các loại thuốc mỡ theo hướng dẫn của bác sĩ,dùng các loại thuốc ức chế miễn dịch theo chỉ định của bác sĩ,thực hiện quang sinh thiết nếu tình trạng bệnh nghiêm trọng,ăn uống lành mạnh
thiếu máu lên não,"sử dụng những loại thực phẩm lành mạnh, giàu sắt, omega-3",tập thể dục thường xuyên,"nghỉ ngơi, hạn chế căng thẳng",khám định kỳ thường xuyên
thoái hóa khớp,sử dụng các loại thuốc theo chỉ dẫn của bác sĩ,khám định kỳ thường xuyên,sống lành mạnh,tiêm phòng
đau vai gáy,thực hành tư thế đúng,tập thể dục,tránh các hoạt động gây căng thẳng cho vùng cổ vai gáy,nghỉ ngơi thư giãn
thoái hóa đốt sống lưng,"bổ sung những thực phẩm giàu vitamin C, D và canxi",thực hiện những bài tập chữa thoái hóa đôt sống,tập thể dục,khám định kỳ thường xuyên
uốn ván,làm sạch vết thương,tiêm vaccine miễn dịch uốn ván,sử dụng thuốc theo chỉ định của bác sĩ,giữ gìn vệ sinh sạch sẽ
viêm tai giữa,sử dụng các loại thuốc theo chỉ định của bác sĩ,giữ gìn vệ sinh tai,nghỉ ngơi,nếu bệnh nặng thì nên làm phẫu thuật
tăng nhãn áp,đi khám mắt thường xuyên,tránh các nguồn sáng mạnh đến mắt,nhỏ thuốc nhỏ mắt thường xuyên,đeo kính bảo vệ mắt
quai bị,"dùng các thuốc hạ sốt, giảm đau để giảm nhẹ các triệu chứng",uống nhiều nước,"hạn chế các loại thực phẩm cứng, các thức ăn nhiều gia vị, cay nóng hoặc có tính acid",nghỉ ngơi